,count,mean,std,min,25%,50%,75%,max
RoA (ib/at),8115.0,-0.0398,0.1938,-0.9546,-0.0733,0.0091,0.0528,0.3544
R&D Intensity (xrd/at),8115.0,0.0298,0.077,0.0,0.0,0.0,0.0124,0.4698
Firm Size (log assets),8115.0,3.1769,1.2996,-2.2538,2.4066,3.2168,3.8192,9.669
Leverage (dltt/at),8115.0,0.1368,0.1473,0.0,0.0099,0.0924,0.2128,0.6381
CAPX Intensity (capx/at),8115.0,0.0339,0.0562,0.0,0.001,0.0106,0.0394,0.3152
Cash Ratio (che/at),8115.0,0.1912,0.1965,0.0,0.0414,0.126,0.2761,0.8558
